state,grade,background_checks,rank
CA,A,yes,1
CT,A-,yes,2
NJ,A-,yes,3
MA,A-,yes,4
MD,A-,yes,6
NY,A-,yes,5
HI,A-,yes,7
IL,B+,yes,8
RI,B+,yes,9
WA,B,yes,10
DE,B,yes,11
MN,C+,no,12
PA,C,yes,13
CO,C,yes,14
OR,C,yes,15
IA,C,yes,16
MI,C,yes,17
NV,C-,yes,18
WI,C-,no,19
NE,D,yes,20
OH,D,no,21
VA,D,no,22
NH,D,no,23
IN,D-,no,24
NC,D-,yes,25
FL,F,no,26
OK,F,no,27
TN,F,no,28
GA,F,no,29
NM,F,no,30
ND,F,no,31
SC,F,no,32
UT,F,no,33
TX,F,no,34
WV,F,no,35
ME,F,no,36
AL,F,no,37
AR,F,no,38
MT,F,no,39
SD,F,no,40
VT,F,no,41
KY,F,no,42
LA,F,no,43
AK,F,no,44
WY,F,no,45
ID,F,no,46
AZ,F,no,47
KS,F,no,48
MO,F,no,49
MS,F,no,50
